Run	Condition	description_title	organism_part	sample_name
SRR5054458	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5054468	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262294	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262295	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262296	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262297	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262298	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262299	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262300	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262301	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262302	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262303	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262304	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262305	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262306	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
SRR5262307	A. nanus transcriptome	Invertebrate sample from Acrobeloides nanus	whole organism	A. nanus transcriptome
