Run	Condition	biomaterial_provider	geographic_location	latitude_and_longitude	organism_part
SRR1324837	Costa Rica	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	Costa Rica	9.748917 -83.753428	whole body (pool of siblings)
SRR1324833	French Guyana Cayenne	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	French Guyana Cayenne	2676224 -52.3269	whole body (pool of siblings)
SRR1324834	French Guyana Comte	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	French Guyana Comte river at the cross with RN2 road	4.592852 -52.356262	whole body (pool of siblings)
SRR1324828	Guadeloupe	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	Guadeloupe	16.265 -61.551	whole body (pool of siblings)
SRR1324830	India Allepey Kerala	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	India Allepey Kerala	9.4980667 76.3388484	whole body (pool of siblings)
SRR1324831	India Kanjirapally Kerala	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	India Kanjirapally Kerala	9.55951 76.79467	whole body (pool of siblings)
SRR1324829	India Poovar Kerala	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	India Poovar Kerala	8.3174333 77.0712972	whole body (pool of siblings)
SRR1324832	Reunion	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	Reunion	-21.045555 55.6875	whole body (pool of siblings)
SRR1324836	Thailand Krabi 	Marie-Anne Felix - Institut de Biologie de l'Ecole Normale Superieure, 46 Rue d'Ulm, 75005 Paris, France	Thailand Krabi nearby the Sai Tai beach	8.0862997 98.9062835	whole body (pool of siblings)
