Run	Sample	Condition	developmental_stage
ERR576952	SAMEA2693534	Adult	adult
ERR576953	SAMEA2693534	Adult	adult
ERR576954	SAMEA2693537	Egg	eggs
ERR576955	SAMEA2693537	Egg	eggs
ERR576956	SAMEA2693532	Juveniles	juvenile (21day)
ERR576957	SAMEA2693532	Juveniles	juvenile (21day)
ERR576958	SAMEA2693522	Metacercariae	metacercariae
ERR576959	SAMEA2693522	Metacercariae	metacercariae
ERR576964	SAMEA2693523	Metacercariae	metacercariae
ERR576965	SAMEA2693524	Metacercariae	metacercariae
ERR576960	SAMEA2693526	Newly emerged juveniles 1hr	newly excysted juveniles (1hr)
ERR576961	SAMEA2693526	Newly emerged juveniles 1hr	newly excysted juveniles (1hr)
ERR576966	SAMEA2693527	Newly emerged juveniles 1hr	newly excysted juveniles (1hr)
ERR576967	SAMEA2693530	Newly emerged juveniles 24hrs	newly excysted juveniles (24hr)
ERR576968	SAMEA2693531	Newly emerged juveniles 24hrs	newly excysted juveniles (24hr)
ERR576962	SAMEA2693528	Newly emerged juveniles 3hrs	newly excysted juveniles (3hr)
ERR576963	SAMEA2693528	Newly emerged juveniles 3hrs	newly excysted juveniles (3hr)
ERR576969	SAMEA2693529	Newly emerged juveniles 3hrs	newly excysted juveniles (3hr)
